#Body tube: Délka / cm,Wadding: Hmotnost / g,Trapezoidal fin set: Výška / cm,Stabilita / cal,Nejvzšší nadmorská výška / m
40,2,5,0.52815,N/A
70,2,5,1.1713,794.2
40,201.5,5,1.5853,837.4
40,2,8.75,1.1303,800.09
40,101.75,6.875,1.5754,838.98
55,101.75,5,1.8012,825.62
40,101.75,5,1.1612,876.36
40,101.75,3.125,0.096553,N/A
25,101.75,5,0.56163,N/A
40,101.75,5.9375,1.4122,857.03
40,151.62,5,1.3923,862.27
47.5,101.75,5,1.4766,850.42
40,51.875,5,0.87934,N/A
40,101.75,4.0625,0.76131,N/A
32.5,101.75,5,0.85583,N/A
40,126.69,5,1.2822,870.98
40,101.75,5.4688,1.3006,866.36
43.75,101.75,5,1.3177,863.27
40,76.812,5,1.0276,878.6
40,101.75,4.5313,0.98533,N/A
36.25,101.75,5,1.0072,889.89
32.5,126.69,5,0.93628,N/A
32.5,101.75,5.4688,0.96978,N/A
38.125,89.281,5,1.024,884.5
38.125,101.75,5,1.0838,883.16
38.125,101.75,4.7656,1.0049,888.43
34.375,101.75,5.2344,0.99473,N/A
34.375,114.22,5,0.97772,N/A
34.375,101.75,5,0.93116,N/A
37.188,101.75,4.8828,1.008,889.19
37.188,95.516,5,1.0172,887.21
37.188,101.75,5,1.0454,886.44
35.312,101.75,5.1172,1.0026,890.86
35.312,107.98,5,0.99398,N/A
35.312,101.75,5,0.96908,N/A
35.312,95.516,5.2344,1.0088,888.67
35.312,101.75,5.2344,1.0343,888.13
35.781,101.75,5.0586,1.0053,890.3
35.312,104.87,5.0586,0.99863,N/A
35.312,101.75,5.0586,0.9861,N/A
34.844,101.75,5.1758,0.99909,N/A
35.312,98.633,5.1758,1.006,889.72
35.312,101.75,5.1758,1.0187,889.3
